number,authors,title,journal,year,volume,pages,note,link
58,"Rathbun, C. M.*; Ionkina, A. I.*; Yao, Z.; Jones, K. A.; Porterfield, W. B.; Prescher, J. A.",Rapid multicomponent bioluminescence imaging via substrate unmixing,BioRxiv,2019,,,Preprint,https://www.biorxiv.org/content/10.1101/811026v1
57,"Nguyen, S. S.*; Ferreira, A. J.*; Long, Z. G.; Heiss, T. K.; Dorn, R. S.; Row, R. D.; Prescher, J. A.",Butenolide synthesis from functionalized cyclopropenones,Org. Lett.,2019,21,8695-8699,,https://pubs.acs.org/doi/10.1021/acs.orglett.9b03298
56,"Williams, S. J.; Prescher, J. A.",Building Biological Flashlights: Orthogonal Luciferases and Luciferins for in Vivo Imaging,Acc. Chem. Res.,2019,52,3039-3050,,https://pubs.acs.org/doi/10.1021/acs.accounts.9b00391
55,"Kamber, D. N.*; Nguyen, S. S.*; Liu, F.; Briggs, J. S.; Shih, H.-W.; Row, R. D.; Long, Z. G.; Houk, K. N.; Liang, Y.; Prescher, J. A.",Isomeric triazines exhibit unique profiles of bioorthogonal reactivity,Chem. Sci.,2019,10,9109-9114,,https://pubs.rsc.org/en/content/articlelanding/2019/sc/c9sc01427f#!divAbstract
54,"Heiss, T. K.; Prescher, J. A.",Cyclopropeniminium ions exhibit unique reactivity profiles with bioorthogonal phosphines,J. Org. Chem.,2019,84,7443-7448,,https://pubs.acs.org/doi/10.1021/acs.joc.9b00518
53,"Row, R. D.; Prescher, J. A.",A Cyclopropenethione-Phosphine Ligation for Rapid Biomolecule Labeling,Org. Lett.,2018,20,5614-5617,,https://pubs.acs.org/doi/10.1021/acs.orglett.8b02296
52,"Yao, Z.*; Zhang, B. S.*; Prescher, J. A.",Advances in bioluminescence imaging: new probes from old recipes,Curr. Opin. Chem. Biol.,2018,45,148-156,,https://www.sciencedirect.com/science/article/pii/S1367593118300097
51,"Row, R. D.; Prescher, J. A.",Constructing New Bioorthogonal Reagents and Reactions,Acc. Chem. Res.,2018,51,1073-1081,,https://pubs.acs.org/doi/10.1021/acs.accounts.7b00606
50,"Yu, T.; Laird, J. R.; Prescher, J. A.; Thorpe, C.",Gaussia princeps luciferase: A bioluminescent substrate for oxidative protein folding,Protein Sci.,2018,27,1509-1517,,https://onlinelibrary.wiley.com/doi/abs/10.1002/pro.3433
49,"Zhang, B. S.; Jones, K. A.; McCutcheon, D. C.; Prescher, J. A.",Pyridone Luciferins and Mutant Luciferases for Bioluminescence Imaging,ChemBioChem,2018,19,470-477,,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201700542/full
48,"Heemstra, J. M.; Waterman, R.; Antos, J. M.; Beuning, P. J.; Bur, S. K.; Columbus, L.; Feig, A. L.; Fuller, A. A.; Gillmore, J. G.; Leconte, A. M.; Londergan, C. H.; Pomerantz, W. C. K.; Prescher, J. A.; Stanley, L. M.",Throwing Away the Cookbook: Implementing Course-Based Undergraduate Research Experiences (CUREs) in Chemistry,ACS Symposium Series,2017,1248,33-63,"(Chapter 3 of the ""Educational and Outreach Projects from the Cottrell Scholars Collaborative Undergraduate and Graduate Education, Volume 1"")",http://pubs.acs.org/doi/abs/10.1021/bk-2017-1248.ch003
47,"Liu, M. D.; Warner, E. A.; Morrissey, C. E.; Fick, C. W.; Wu, T. S.; Ornelas, M. Y.; Ochoa, G. V.; Zhang, B.; Rathbun, C. M.; Porterfield, W. B.; Prescher, J. A.; Leconte, A. M.",Statistical Coupling Analysis-guided library design for discovery of mutant luciferases,Biochemistry,2017,57,663-671,,http://pubs.acs.org/doi/10.1021/acs.biochem.7b01014
46,"Rathbun, C. M.*; Porterfield, W. B.*; Jones, K. A.*; Sagoe, M. J.; Reyes, M. R.; Hua, C. T.; Prescher, J. A.",Parallel Screening for Rapid Identification of Orthogonal Bioluminescent Tools,ACS Cent. Sci.,2017,3,1254-1261,,http://pubs.acs.org/doi/full/10.1021/acscentsci.7b00394
45,"Rathbun, C. M.; Prescher, J. A.",Bioluminescent Probes for Imaging Biology beyond the Culture Dish,Biochemistry,2017,56,5178-5184,"(invited article for ""Seeing Into Cells"" issue)",http://pubs.acs.org/doi/10.1021/acs.biochem.7b00435
44,"Gartner, Z. J.; Prescher, J. A.; Lavis L. D.",Unraveling cell-to-cell signaling networks with chemical biology,Nat. Chem. Biol.,2017,13,564-568,,https://www.nature.com/nchembio/journal/v13/n6/full/nchembio.2391.html
43,"Row, R. D.; Shih, H.-W.; Alexander, A. T.; Mehl, R. A.; Prescher, J. A.",Cyclopropenones for metabolic targeting and sequential bioorthogonal labeling,J. Am. Chem. Soc.,2017,139,7370-7375,,http://pubs.acs.org/doi/abs/10.1021/jacs.7b03010
42,"Jones, K. A.*; Porterfield, W. B.*; Rathbun, C. M.*; McCutcheon, D. C.; Paley, M. A.; Prescher, J. A.",Orthogonal luciferase-luciferin pairs for bioluminescence imaging,J. Am. Chem. Soc.,2017,139,2351-2358,,http://pubs.acs.org/doi/abs/10.1021/jacs.6b11737
41,"Row, R. D.; Prescher, J. A.",Tetrazine Marks the Spot,ACS Cent. Sci.,2016,2,493-494,,http://pubs.acs.org/doi/abs/10.1021/acscentsci.6b00204?src=recsys
40,"Steinhardt, R. C.; Rathbun, C. M.; Krull, B. T.; Yu, j.; Yang, Y.; Nguyen, B. D.; Kwon, J.; McCutcheon, D. C.; Jones, K. A.; Furche, F.; Prescher, J. A.",Brominated luciferins are versatile bioluminescent probes,ChemBioChem,2016,18,96-100,,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201600564/abstract
39,"Steinhardt, R. C.; O'Neill, J. M.; Rathbun, C. M.; McCutcheon, D. C.; Paley, M. A.; Prescher, J. A.",Design and synthesis of an alkynyl luciferin analog for bioluminescence imaging,Chem. Eur. J.,2016,22,3671-3675,,http://onlinelibrary.wiley.com/doi/10.1002/chem.201503944/abstract
38,"Nazarova, L. A.; Ochoa, R. A.; Jones, K. A.; Morrissette, N. M.; Prescher, J. A.",Extracellular Toxoplasma gondii tachyzoites metabolize and incorporate unnatural sugars into cellular proteins,Microbes Infect.,2015,18,199-210,,http://www.sciencedirect.com/science/article/pii/S128645791500252X
37,"Shih, H.-W.; Prescher, J. A.",A bioorthogonal cyclopropenenones ligation mediated by triarylphosphines,J. Am. Chem. Soc.,2015,137,10036-10039,,http://pubs.acs.org/doi/abs/10.1021/jacs.5b06969
36,"Patterson, D. M.; Prescher, J. A.",Orthogonal bioorthogonal chemistries,Curr. Opin. Chem. Biol.,2015,28,141-149,,http://www.sciencedirect.com/science/article/pii/S1367593115000824
35,"Porterfield, W. B.; Jones, K. A.; McCutcheon, D. C.; Prescher, J. A.","A ""caged"" luciferin for imaging cell-cell contacts",J. Am. Chem. Soc.,2015,137,8656-8659,,http://pubs.acs.org/doi/abs/10.1021/jacs.5b02774
34,"Kamber, D. N.; Liang, Y.; Lopez, S. A.; Houk, K. N.; Mehl, R. A.; Prescher, J. A.","1,2,4-Triazines are versatile bioorthogonal reagents",J. Am. Chem. Soc.,2015,137,8388-8391,,http://pubs.acs.org/doi/abs/10.1021/jacs.5b05100
